"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Serra's Guardian","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","284","False","False","0.34"
"1","1","Sharktocrab","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","206","False","False","0.09"
"1","1","Shield of the Realm","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","228","False","False","0.09"
"1","1","Shimmer of Possibility","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","51","False","False","0.07"
"1","1","Shivan Dragon","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","300","False","False","0.13"
"1","1","Shock","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","156","False","False","0.06"
"1","1","Siege Wurm","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","144","False","False","0.06"
"2","2","Simic Guildgate","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","258","False","False","0.06"
"1","1","Simic Guildgate","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","257","False","False","0.07"
"1","1","Simic Locket","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","240","False","False","0.07"
"1","1","Sinister Sabotage","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","54","False","False","0.06"
"1","1","Skewer the Critics","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","115","False","False","0.14"
"1","1","Sky Hussar","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","19","False","False","0.14"
"2","2","Sky Tether","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","21","False","False","0.04"
"4","4","Sky Theater Strix","war","Near Mint","English","","","2025-07-15 00:03:05.683000","67","False","False","0.07"
"1","1","Skyknight Legionnaire","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","198","False","False","0.03"
"1","1","Skymark Roc","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","20","False","False","0.20"
"1","1","Slimefoot, the Stowaway","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","205","False","False","0.13"
"1","1","Spark Double","war","Near Mint","English","","","2025-07-15 00:03:05.683000","68","False","False","5.58"
"1","1","Spear Spewer","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","117","False","False","0.12"
"1","1","Spellkeeper Weird","war","Near Mint","English","","","2025-07-15 00:03:05.683000","69","False","False","0.13"
"1","1","Sphinx","trna","Near Mint","English","","","2025-07-15 00:03:05.683000","9","False","False","0.06"
"1","1","Sphinx of Foresight","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","55","False","False","0.27"
"1","1","Sphinx of New Prahv","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","208","False","False","0.06"
"4","4","Sphinx of New Prahv","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","208","False","False","0.06"
"6","6","Sphinx's Insight","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","209","False","False","0.04"
"1","1","Sphinx's Revelation","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","21","False","False","1.26"
"1","1","Spikewheel Acrobat","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","118","False","False","0.04"
"1","1","Spinal Centipede","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","86","False","False","0.06"
"1","1","Spirit","trna","Near Mint","English","","","2025-07-15 00:03:05.683000","10","False","False","0.09"
"5","5","Spirit of the Spires","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","23","False","False","0.08"
"1","1","Stealth Mission","war","Near Mint","English","","","2025-07-15 00:03:05.683000","70","False","False","0.05"
"1","1","Stoic Ephemera","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","4","False","False","0.18"
"1","1","Stony Strength","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","143","False","False","0.04"
"1","1","Storm Strike","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","119","False","False","0.02"
"4","4","Summary Judgment","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","24","False","False","0.03"
"5","5","Sunblade Angel","war","Near Mint","English","","","2025-07-15 00:03:05.683000","31","False","False","0.08"
"1","1","Sunder Shaman","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","210","False","False","0.06"
"5","5","Swamp","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","272","False","False","0.14"
"5","5","Swamp","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","271","False","False","0.10"
"5","5","Swamp","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","270","False","False","0.07"
"5","5","Swamp","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","269","False","False","0.08"
"1","1","Swirling Torrent","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","56","False","False","0.02"
"1","1","Sworn Companions","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","27","False","False","0.07"
"2","2","Take Heart","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","28","False","False","0.04"
"1","1","Tamiyo's Epiphany","war","Near Mint","English","","","2025-07-15 00:03:05.683000","71","False","False","0.08"
"1","1","Territorial Boar","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","145","False","False","0.05"
"3","3","Teyo, the Shieldmage","war","Near Mint","English","","","2025-07-15 00:03:05.683000","32","False","False","0.21"
"2","2","Teyo's Lightshield","war","Near Mint","English","","","2025-07-15 00:03:05.683000","33","False","False","0.04"
"1","1","The Eldest Reborn","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","90","False","False","0.32"
"1","1","The Mending of Dominaria","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","173","False","False","0.26"
"3","3","The Wanderer","war","Near Mint","English","","","2025-07-15 00:03:05.683000","37","False","False","0.26"
"1","1","Thirsting Shade","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","87","False","False","0.04"
"1","1","Thopter","tm19","Near Mint","English","","","2025-07-15 00:03:05.683000","14","False","False","0.13"
"5","5","Thopter","trna","Near Mint","English","","","2025-07-15 00:03:05.683000","11","False","False","0.14"
"2","2","Thought Collapse","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","57","False","False","0.16"
"1","1","Tomik, Distinguished Advokist","war","Near Mint","English","","","2025-07-15 00:03:05.683000","34","False","False","0.12"
"3","3","Topple the Statue","war","Near Mint","English","","","2025-07-15 00:03:05.683000","35","False","False","0.02"
"1","1","Totally Lost","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","81","False","False","0.04"
"3","3","Totally Lost","war","Near Mint","English","","","2025-07-15 00:03:05.683000","74","False","False","0.03"
"1","1","Tower Defense","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","147","False","False","0.10"
"1","1","Trollbred Guardian","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","148","False","False","0.15"
"1","1","Truefire Captain","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","209","False","False","0.08"
"6","6","Trusted Pegasus","war","Near Mint","English","","","2025-07-15 00:03:05.683000","36","False","False","0.04"
"1","1","Twilight Panther","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","28","False","False","0.04"
"1","1","Ugin, the Ineffable","war","Near Mint","English","","","2025-07-15 00:03:05.683000","2","False","False","0.87"
"1","1","Ugin, the Ineffable","war","Near Mint","English","","","2025-07-15 00:03:05.683000","2","False","False","0.87"
"3","3","Ugin's Conjurant","war","Near Mint","English","","","2025-07-15 00:03:05.683000","3","False","False","0.10"
"1","1","Unbreakable Formation","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","29","False","False","0.43"
"1","1","Undercity Uprising","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","210","False","False","0.06"
"1","1","Urban Utopia","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","146","False","False","0.06"
"2","2","Wall of Lost Thoughts","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","59","False","False","0.11"
"2","2","Wall of Runes","war","Near Mint","English","","","2025-07-15 00:03:05.683000","75","False","False","0.07"
"1","1","War Screecher","war","Near Mint","English","","","2025-07-15 00:03:05.683000","39","False","False","0.03"
"1","1","Warlord's Fury","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","151","False","False","0.16"
"1","1","Warrant // Warden","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","230","False","False","0.12"
"1","1","Watcher in the Mist","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","59","False","False","0.05"
"2","2","Watchful Giant","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","30","False","False","0.02"
"1","1","Whisper Agent","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","220","False","False","0.04"
"1","1","Whispering Snitch","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","90","False","False","0.09"
"1","1","Wild Ceratok","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","150","False","False","0.03"
"1","1","Windreaver","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","22","False","False","0.17"
"2","2","Windstorm Drake","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","60","False","False","0.09"
"1","1","Worldsoul Colossus","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","215","False","False","0.07"
"1","1","Zhur-Taa Goblin","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","215","False","False","0.09"
